cell_id	clone_id	dataset_id
SA906-A96175C-R56-C43	A	SA906a
SA906-A96175C-R56-C44	D	SA906a
SA906-A96175C-R56-C46	E	SA906a
SA906-A96175C-R56-C48	B	SA906a
SA906-A96175C-R56-C50	D	SA906a
SA906-A96175C-R56-C51	A	SA906a
SA906-A96175C-R56-C53	F	SA906a
SA906-A96175C-R56-C56	L	SA906a
SA906-A96175C-R56-C57	D	SA906a
SA906-A96175C-R56-C58	I	SA906a
SA906-A96175C-R56-C60	G	SA906a
SA906-A96175C-R56-C61	L	SA906a
SA906-A96175C-R56-C62	B	SA906a
SA906-A96175C-R56-C65	D	SA906a
SA906-A96175C-R56-C67	G	SA906a
SA906-A96175C-R56-C68	C	SA906a
SA906-A96175C-R56-C70	L	SA906a
SA906-A96175C-R57-C10	I	SA906a
SA906-A96175C-R57-C14	K	SA906a
SA906-A96175C-R57-C15	J	SA906a
SA906-A96175C-R57-C18	J	SA906a
SA906-A96175C-R57-C19	L	SA906a
SA906-A96175C-R57-C21	C	SA906a
SA906-A96175C-R57-C25	J	SA906a
SA906-A96175C-R57-C26	L	SA906a
SA906-A96175C-R57-C29	B	SA906a
SA906-A96175C-R57-C30	G	SA906a
SA906-A96175C-R57-C33	F	SA906a
SA906-A96175C-R57-C36	L	SA906a
SA906-A96175C-R57-C37	J	SA906a
SA906-A96175C-R57-C43	B	SA906a
SA906-A96175C-R57-C46	L	SA906a
SA906-A96175C-R57-C48	C	SA906a
SA906-A96175C-R57-C49	C	SA906a
SA906-A96175C-R57-C52	G	SA906a
SA906-A96175C-R57-C59	G	SA906a
SA906-A96175C-R57-C60	G	SA906a
SA906-A96175C-R57-C61	G	SA906a
SA906-A96175C-R57-C62	G	SA906a
SA906-A96175C-R58-C08	G	SA906a
SA906-A96175C-R58-C09	G	SA906a
SA906-A96175C-R58-C12	F	SA906a
SA906-A96175C-R58-C16	B	SA906a
SA906-A96175C-R58-C19	G	SA906a
SA906-A96175C-R58-C22	D	SA906a
SA906-A96175C-R58-C23	G	SA906a
SA906-A96175C-R58-C24	C	SA906a
SA906-A96175C-R58-C25	I	SA906a
SA906-A96175C-R58-C27	G	SA906a
SA906-A96175C-R58-C28	D	SA906a
SA906-A96175C-R58-C29	A	SA906a
SA906-A96175C-R58-C30	F	SA906a
SA906-A96175C-R58-C31	L	SA906a
SA906-A96175C-R58-C32	G	SA906a
SA906-A96175C-R58-C35	E	SA906a
SA906-A96175C-R58-C36	B	SA906a
SA906-A96175C-R58-C37	C	SA906a
SA906-A96175C-R58-C38	B	SA906a
SA906-A96175C-R58-C42	G	SA906a
SA906-A96175C-R58-C43	C	SA906a
SA906-A96175C-R58-C44	G	SA906a
SA906-A96175C-R58-C47	K	SA906a
SA906-A96175C-R58-C49	B	SA906a
SA906-A96175C-R58-C51	C	SA906a
SA906-A96175C-R58-C58	E	SA906a
SA906-A96175C-R58-C62	C	SA906a
SA906-A96175C-R58-C64	C	SA906a
SA906-A96175C-R58-C65	G	SA906a
SA906-A96175C-R58-C67	G	SA906a
SA906-A96175C-R58-C69	D	SA906a
SA906-A96175C-R59-C07	G	SA906a
SA906-A96175C-R59-C08	G	SA906a
SA906-A96175C-R59-C09	B	SA906a
SA906-A96175C-R59-C12	C	SA906a
SA906-A96175C-R59-C14	B	SA906a
SA906-A96175C-R59-C15	G	SA906a
SA906-A96175C-R59-C19	G	SA906a
SA906-A96175C-R59-C21	G	SA906a
SA906-A96175C-R59-C26	L	SA906a
SA906-A96175C-R59-C28	D	SA906a
SA906-A96175C-R59-C32	L	SA906a
SA906-A96175C-R59-C35	I	SA906a
SA906-A96175C-R59-C36	F	SA906a
SA906-A96175C-R59-C37	D	SA906a
SA906-A96175C-R59-C42	E	SA906a
SA906-A96175C-R59-C43	C	SA906a
SA906-A96175C-R59-C44	E	SA906a
SA906-A96175C-R59-C45	G	SA906a
SA906-A96175C-R59-C46	F	SA906a
SA906-A96175C-R59-C47	G	SA906a
SA906-A96175C-R59-C51	C	SA906a
SA906-A96175C-R59-C52	G	SA906a
SA906-A96175C-R59-C54	L	SA906a
SA906-A96175C-R59-C56	G	SA906a
SA906-A96175C-R59-C57	C	SA906a
SA906-A96175C-R59-C58	L	SA906a
SA906-A96175C-R59-C59	E	SA906a
SA906-A96175C-R59-C61	G	SA906a
SA906-A96175C-R59-C62	G	SA906a
SA906-A96175C-R59-C63	E	SA906a
SA906-A96175C-R59-C66	B	SA906a
SA906-A96175C-R59-C68	I	SA906a
SA906-A96175C-R60-C07	L	SA906a
SA906-A96175C-R60-C08	K	SA906a
SA906-A96175C-R60-C12	L	SA906a
SA906-A96175C-R60-C14	G	SA906a
SA906-A96175C-R60-C16	J	SA906a
SA906-A96175C-R60-C18	A	SA906a
SA906-A96175C-R60-C19	L	SA906a
SA906-A96175C-R60-C20	L	SA906a
SA906-A96175C-R60-C22	C	SA906a
SA906-A96175C-R60-C23	D	SA906a
SA906-A96175C-R60-C25	F	SA906a
SA906-A96175C-R60-C30	L	SA906a
SA906-A96175C-R60-C33	C	SA906a
SA906-A96175C-R60-C34	L	SA906a
SA906-A96175C-R60-C40	C	SA906a
SA906-A96175C-R60-C41	A	SA906a
SA906-A96175C-R60-C43	L	SA906a
SA906-A96175C-R60-C44	I	SA906a
SA906-A96175C-R60-C45	D	SA906a
SA906-A96175C-R60-C47	I	SA906a
SA906-A96175C-R60-C49	G	SA906a
SA906-A96175C-R60-C51	B	SA906a
SA906-A96175C-R60-C53	A	SA906a
SA906-A96175C-R60-C54	L	SA906a
SA906-A96175C-R60-C56	J	SA906a
SA906-A96175C-R60-C57	G	SA906a
SA906-A96175C-R60-C58	J	SA906a
SA906-A96175C-R60-C61	G	SA906a
SA906-A96175C-R60-C62	G	SA906a
SA906-A96175C-R60-C63	L	SA906a
SA906-A96175C-R60-C66	C	SA906a
SA906-A96175C-R60-C67	J	SA906a
SA906-A96175C-R60-C68	L	SA906a
SA906-A96175C-R61-C07	B	SA906a
SA906-A96175C-R61-C09	K	SA906a
SA906-A96175C-R61-C12	I	SA906a
SA906-A96175C-R61-C13	J	SA906a
SA906-A96175C-R61-C15	A	SA906a
SA906-A96175C-R61-C17	B	SA906a
SA906-A96175C-R61-C22	K	SA906a
SA906-A96175C-R61-C26	J	SA906a
SA906-A96175C-R61-C30	G	SA906a
SA906-A96175C-R61-C31	G	SA906a
SA906-A96175C-R61-C37	E	SA906a
SA906-A96175C-R61-C46	D	SA906a
SA906-A96175C-R61-C47	G	SA906a
SA906-A96175C-R61-C49	D	SA906a
SA906-A96175C-R61-C50	G	SA906a
SA906-A96175C-R61-C51	J	SA906a
SA906-A96175C-R61-C56	G	SA906a
SA906-A96175C-R61-C57	E	SA906a
SA906-A96175C-R61-C59	F	SA906a
SA906-A96175C-R61-C61	C	SA906a
SA906-A96175C-R61-C62	D	SA906a
SA906-A96175C-R61-C63	B	SA906a
SA906-A96175C-R61-C64	K	SA906a
SA906-A96175C-R61-C68	G	SA906a
SA906-A96175C-R61-C70	L	SA906a
SA906-A96175C-R62-C08	B	SA906a
SA906-A96175C-R62-C09	G	SA906a
SA906-A96175C-R62-C10	E	SA906a
SA906-A96175C-R62-C11	A	SA906a
SA906-A96175C-R62-C14	D	SA906a
SA906-A96175C-R62-C16	A	SA906a
SA906-A96175C-R62-C17	D	SA906a
