,isabl_patient_id,isabl_sample_id,isabl_aliquot_id,isabl_pk,isabl_application,isabl_version,technique_category,technique_method,technique_name,sample_category,num_targets,version,result_type,result_filepath
79,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,reads,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_reads.csv.gz
80,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,params,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_params.csv.gz
81,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,metadata,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/metadata.yaml
82,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,segments,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_segments.csv.gz
83,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_err,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/head_job.err
84,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_log,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/head_job.log
85,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,hmmcopy_data,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_hmmcopy_data.tar.gz
86,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,igv_segments,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_igv_segments.seg
87,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,heatmap_by_ec,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_heatmap_by_ec.pdf
88,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_script,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/head_job.sh
89,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,kernel_density,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_kernel_density.pdf
90,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,results_metadata,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/metadata.yaml
91,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,hmmcopy_metrics_csv,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_hmmcopy_metrics.csv.gz
92,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,hmmcopy_metrics_pdf,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_hmmcopy_metrics.pdf
