cell_id	clone_id
SA922-A90554B-R34-C17	E
SA922-A90554B-R34-C20	E
SA922-A90554B-R34-C21	E
SA922-A90554B-R34-C26	E
SA922-A90554B-R34-C27	E
SA922-A90554B-R34-C30	E
SA922-A90554B-R34-C32	E
SA922-A90554B-R34-C34	E
SA922-A90554B-R34-C35	E
SA922-A90554B-R34-C36	E
SA922-A90554B-R34-C41	E
SA922-A90554B-R34-C42	E
SA922-A90554B-R34-C43	E
SA922-A90554B-R34-C47	E
SA922-A90554B-R34-C48	E
SA922-A90554B-R34-C49	E
SA922-A90554B-R34-C54	E
SA922-A90554B-R34-C58	E
SA922-A90554B-R34-C61	E
SA922-A90554B-R34-C64	E
SA922-A90554B-R34-C66	E
SA922-A90554B-R34-C67	E
SA922-A90554B-R34-C68	D
SA922-A90554B-R34-C69	E
SA922-A90554B-R35-C08	E
SA922-A90554B-R35-C10	D
SA922-A90554B-R35-C12	D
SA922-A90554B-R35-C13	E
SA922-A90554B-R35-C14	E
SA922-A90554B-R35-C19	E
SA922-A90554B-R35-C21	E
SA922-A90554B-R35-C22	E
SA922-A90554B-R35-C25	E
SA922-A90554B-R35-C28	E
SA922-A90554B-R35-C32	E
SA922-A90554B-R35-C33	E
SA922-A90554B-R35-C34	E
SA922-A90554B-R35-C35	E
SA922-A90554B-R35-C36	E
SA922-A90554B-R35-C37	E
SA922-A90554B-R35-C38	E
SA922-A90554B-R35-C40	E
SA922-A90554B-R35-C47	E
SA922-A90554B-R35-C49	E
SA922-A90554B-R35-C50	E
SA922-A90554B-R35-C56	E
SA922-A90554B-R35-C58	E
SA922-A90554B-R35-C59	E
SA922-A90554B-R35-C60	E
SA922-A90554B-R35-C61	D
SA922-A90554B-R35-C67	D
SA922-A90554B-R35-C69	E
SA1090-A96213A-R20-C11	F
SA1090-A96213A-R20-C17	G
SA1090-A96213A-R20-C18	F
SA1090-A96213A-R20-C19	F
SA1090-A96213A-R20-C22	F
SA1090-A96213A-R20-C23	G
SA1090-A96213A-R20-C24	F
SA1090-A96213A-R20-C25	G
