V1,single_cell_id,letters,datatag,sample_id
132,SA609X6XB03404-A98284A-R11-C32,A,SA000,SA609X6XB03404
133,SA609X6XB03404-A98284A-R12-C43,A,SA000,SA609X6XB03404
134,SA609X6XB03404-A98284A-R14-C69,A,SA000,SA609X6XB03404
135,SA609X6XB03404-A98284A-R15-C43,A,SA000,SA609X6XB03404
136,SA609X6XB03404-A98284A-R18-C65,A,SA000,SA609X6XB03404
137,SA609X5XB03230-A98289B-R42-C14,A,SA000,SA609X5XB03230
138,SA609X5XB03230-A98289B-R42-C57,A,SA000,SA609X5XB03230
139,SA609X5XB03230-A98289B-R42-C64,A,SA000,SA609X5XB03230
140,SA609X5XB03230-A98289B-R47-C28,A,SA000,SA609X5XB03230
141,SA609X5XB03230-A98289B-R48-C28,A,SA000,SA609X5XB03230
142,SA609X6XB03404-A98284A-R14-C37,A,SA000,SA609X6XB03404
143,SA609X5XB03230-A98289B-R48-C63,A,SA000,SA609X5XB03230
144,SA609X6XB03404-A98284A-R17-C12,A,SA000,SA609X6XB03404
145,SA609X5XB03230-A98289B-R43-C35,A,SA000,SA609X5XB03230
146,SA609X5XB03230-A98289B-R47-C59,A,SA000,SA609X5XB03230
147,SA609X5XB03230-A98289B-R48-C54,A,SA000,SA609X5XB03230
148,SA609X5XB03230-A98289B-R54-C64,A,SA000,SA609X5XB03230
149,SA609X6XB03404-A98284A-R03-C14,A,SA000,SA609X6XB03404
150,SA609X6XB03404-A98284A-R04-C17,A,SA000,SA609X6XB03404
151,SA609X6XB03404-A98284A-R06-C35,A,SA000,SA609X6XB03404
152,SA609X6XB03404-A98284A-R07-C25,A,SA000,SA609X6XB03404
153,SA609X6XB03404-A98284A-R07-C29,A,SA000,SA609X6XB03404
154,SA609X6XB03404-A98284A-R11-C31,A,SA000,SA609X6XB03404
155,SA609X6XB03404-A98284A-R14-C14,A,SA000,SA609X6XB03404
156,SA609X6XB03404-A98284A-R14-C21,A,SA000,SA609X6XB03404
157,SA609X6XB03404-A98284A-R15-C08,A,SA000,SA609X6XB03404
158,SA609X6XB03404-A98284A-R17-C09,A,SA000,SA609X6XB03404
159,SA609X6XB03404-A98284A-R24-C62,A,SA000,SA609X6XB03404
160,SA609X5XB03230-A98289B-R56-C67,A,SA000,SA609X5XB03230
161,SA609X5XB03230-A98289B-R58-C39,A,SA000,SA609X5XB03230
162,SA609X6XB03404-A98284A-R10-C13,A,SA000,SA609X6XB03404
163,SA609X6XB03404-A98284A-R11-C30,A,SA000,SA609X6XB03404
164,SA609X6XB03404-A98284A-R11-C41,A,SA000,SA609X6XB03404
165,SA609X6XB03404-A98284A-R12-C16,A,SA000,SA609X6XB03404
166,SA609X5XB03230-A98289B-R45-C33,A,SA000,SA609X5XB03230
167,SA609X5XB03230-A98289B-R46-C50,A,SA000,SA609X5XB03230
168,SA609X5XB03230-A98289B-R50-C16,A,SA000,SA609X5XB03230
169,SA609X6XB03404-A98284A-R03-C15,A,SA000,SA609X6XB03404
170,SA609X6XB03404-A98284A-R03-C60,A,SA000,SA609X6XB03404
171,SA609X6XB03404-A98284A-R04-C49,A,SA000,SA609X6XB03404
172,SA609X5XB03230-A98289B-R42-C10,A,SA000,SA609X5XB03230
173,SA609X5XB03230-A98289B-R44-C07,A,SA000,SA609X5XB03230
174,SA609X5XB03230-A98289B-R47-C22,A,SA000,SA609X5XB03230
175,SA609X5XB03230-A98289B-R50-C12,A,SA000,SA609X5XB03230
176,SA609X5XB03230-A98289B-R50-C15,A,SA000,SA609X5XB03230
177,SA609X5XB03230-A98289B-R53-C70,A,SA000,SA609X5XB03230
178,SA609X5XB03230-A98289B-R54-C18,A,SA000,SA609X5XB03230
179,SA609X5XB03230-A98289B-R54-C41,A,SA000,SA609X5XB03230
180,SA609X5XB03230-A98289B-R54-C48,A,SA000,SA609X5XB03230
181,SA609X5XB03230-A98289B-R54-C62,A,SA000,SA609X5XB03230
182,SA609X5XB03230-A98289B-R56-C55,A,SA000,SA609X5XB03230
183,SA609X5XB03230-A98289B-R57-C07,A,SA000,SA609X5XB03230
184,SA609X5XB03230-A98289B-R57-C16,A,SA000,SA609X5XB03230
185,SA609X5XB03230-A98289B-R57-C70,A,SA000,SA609X5XB03230
186,SA609X5XB03230-A98289B-R58-C07,A,SA000,SA609X5XB03230
187,SA609X5XB03230-A98289B-R58-C50,A,SA000,SA609X5XB03230
188,SA609X5XB03230-A98289B-R59-C64,A,SA000,SA609X5XB03230
189,SA609X6XB03404-A98284A-R05-C68,A,SA000,SA609X6XB03404
190,SA609X6XB03404-A98284A-R06-C09,A,SA000,SA609X6XB03404
191,SA609X6XB03404-A98284A-R06-C33,A,SA000,SA609X6XB03404
192,SA609X6XB03404-A98284A-R07-C48,A,SA000,SA609X6XB03404
193,SA609X6XB03404-A98284A-R07-C54,A,SA000,SA609X6XB03404
194,SA609X6XB03404-A98284A-R08-C55,A,SA000,SA609X6XB03404
195,SA609X6XB03404-A98284A-R08-C56,A,SA000,SA609X6XB03404
196,SA609X6XB03404-A98284A-R09-C45,A,SA000,SA609X6XB03404
197,SA609X6XB03404-A98284A-R09-C55,A,SA000,SA609X6XB03404
198,SA609X6XB03404-A98284A-R11-C47,A,SA000,SA609X6XB03404
199,SA609X6XB03404-A98284A-R12-C68,A,SA000,SA609X6XB03404
200,SA609X6XB03404-A98284A-R12-C70,A,SA000,SA609X6XB03404
201,SA609X6XB03404-A98284A-R13-C09,A,SA000,SA609X6XB03404
202,SA609X6XB03404-A98284A-R14-C07,A,SA000,SA609X6XB03404
203,SA609X6XB03404-A98284A-R16-C49,A,SA000,SA609X6XB03404
204,SA609X6XB03404-A98284A-R17-C35,A,SA000,SA609X6XB03404
205,SA609X6XB03404-A98284A-R18-C61,A,SA000,SA609X6XB03404
206,SA609X6XB03404-A98284A-R20-C15,A,SA000,SA609X6XB03404
207,SA609X6XB03404-A98284A-R24-C17,A,SA000,SA609X6XB03404
208,SA609X6XB03404-A98284A-R24-C31,A,SA000,SA609X6XB03404
209,SA609X5XB03230-A98289B-R43-C15,A,SA000,SA609X5XB03230
210,SA609X5XB03230-A98289B-R44-C23,A,SA000,SA609X5XB03230
211,SA609X5XB03230-A98289B-R45-C27,A,SA000,SA609X5XB03230
212,SA609X5XB03230-A98289B-R45-C69,A,SA000,SA609X5XB03230
213,SA609X5XB03230-A98289B-R47-C25,A,SA000,SA609X5XB03230
214,SA609X5XB03230-A98289B-R47-C64,A,SA000,SA609X5XB03230
215,SA609X5XB03230-A98289B-R50-C55,A,SA000,SA609X5XB03230
216,SA609X5XB03230-A98289B-R51-C16,A,SA000,SA609X5XB03230
217,SA609X5XB03230-A98289B-R59-C50,A,SA000,SA609X5XB03230
218,SA609X6XB03404-A98284A-R03-C65,A,SA000,SA609X6XB03404
219,SA609X6XB03404-A98284A-R05-C25,A,SA000,SA609X6XB03404
220,SA609X6XB03404-A98284A-R06-C44,A,SA000,SA609X6XB03404
221,SA609X6XB03404-A98284A-R08-C59,A,SA000,SA609X6XB03404
222,SA609X6XB03404-A98284A-R12-C25,A,SA000,SA609X6XB03404
223,SA609X6XB03404-A98284A-R12-C48,A,SA000,SA609X6XB03404
224,SA609X6XB03404-A98284A-R15-C29,A,SA000,SA609X6XB03404
225,SA609X5XB03230-A98289B-R41-C54,A,SA000,SA609X5XB03230
226,SA609X5XB03230-A98289B-R41-C68,A,SA000,SA609X5XB03230
227,SA609X5XB03230-A98289B-R43-C20,A,SA000,SA609X5XB03230
228,SA609X5XB03230-A98289B-R43-C37,A,SA000,SA609X5XB03230
229,SA609X5XB03230-A98289B-R48-C26,A,SA000,SA609X5XB03230
230,SA609X5XB03230-A98289B-R49-C18,A,SA000,SA609X5XB03230
231,SA609X5XB03230-A98289B-R49-C48,A,SA000,SA609X5XB03230
232,SA609X5XB03230-A98289B-R51-C28,A,SA000,SA609X5XB03230
233,SA609X5XB03230-A98289B-R55-C42,A,SA000,SA609X5XB03230
234,SA609X5XB03230-A98289B-R57-C14,A,SA000,SA609X5XB03230
235,SA609X5XB03230-A98289B-R57-C37,A,SA000,SA609X5XB03230
236,SA609X6XB03404-A98284A-R07-C41,A,SA000,SA609X6XB03404
237,SA609X6XB03404-A98284A-R10-C44,A,SA000,SA609X6XB03404
238,SA609X5XB03230-A98289B-R42-C70,A,SA000,SA609X5XB03230
239,SA609X5XB03230-A98289B-R44-C25,A,SA000,SA609X5XB03230
240,SA609X5XB03230-A98289B-R44-C44,A,SA000,SA609X5XB03230
241,SA609X5XB03230-A98289B-R47-C65,A,SA000,SA609X5XB03230
242,SA609X5XB03230-A98289B-R49-C70,A,SA000,SA609X5XB03230
243,SA609X5XB03230-A98289B-R56-C13,A,SA000,SA609X5XB03230
244,SA609X5XB03230-A98289B-R57-C40,A,SA000,SA609X5XB03230
245,SA609X5XB03230-A98289B-R57-C47,A,SA000,SA609X5XB03230
246,SA609X5XB03230-A98289B-R58-C70,A,SA000,SA609X5XB03230
247,SA609X6XB03404-A98284A-R09-C20,A,SA000,SA609X6XB03404
248,SA609X6XB03404-A98284A-R10-C60,A,SA000,SA609X6XB03404
