"single_cell_id" "letters" "datatag"
"400" "SA609X6XB03404-A98284A-R10-C63" "A" "SA000"
"401" "SA609X6XB03404-A98284A-R11-C19" "A" "SA000"
"402" "SA609X6XB03404-A98284A-R12-C12" "A" "SA000"
"403" "SA609X6XB03404-A98284A-R12-C30" "A" "SA000"
"404" "SA609X6XB03404-A98284A-R13-C41" "A" "SA000"
"405" "SA609X6XB03404-A98284A-R14-C11" "A" "SA000"
"406" "SA609X6XB03404-A98284A-R15-C20" "A" "SA000"
"407" "SA609X6XB03404-A98284A-R15-C37" "A" "SA000"
"408" "SA609X6XB03404-A98284A-R15-C52" "A" "SA000"
"409" "SA609X6XB03404-A98284A-R15-C59" "A" "SA000"
